,Month,Year,Category,ProvidedValue,Country
11065,11,2016,Hydro_Mixed_pumped_storage_non_renewable,37.78,DE
11066,11,2016,Hydro_Mixed_pumped_storage_renewable,,DE
11067,11,2016,Other_non_renewable,,DE
11068,11,2016,Solar_PV,1026.94,DE
11069,11,2016,Solar_Thermal,,DE
11070,11,2016,Waste_non_renewable,412.18,DE
11071,11,2016,Waste_renewable,412.18,DE
11072,11,2016,Consumption_of_pumps,706.45,DE
11073,11,2016,Transmission losses,839.03,DE
11074,12,2016,Biomass,3655.32,DE
11075,12,2016,Fossil_Brown_coal_Lignite,11785,DE
11076,12,2016,Fossil_Coal_derived_gas,,DE
11077,12,2016,Fossil_Gas,10036.98,DE
11078,12,2016,Fossil_Hard_coal,9773.19,DE
11079,12,2016,Fossil_Oil,416.67,DE
11080,12,2016,Fossil_Oil_shale,,DE
11081,12,2016,Fossil_Peat,,DE
11082,12,2016,Geothermal,17.67,DE
11083,12,2016,Hydro_Pure_pumped_Storage,607.11,DE
11084,12,2016,Hydro_RunOfRiver_and_poundage,1005.41,DE
11085,12,2016,Hydro_Pure_storage,36.34,DE
11086,12,2016,Hydro_Marine,,DE
11087,12,2016,Nuclear,6275.31,DE
11088,12,2016,Other_renewable,120.47,DE
11089,12,2016,Wind_offshore,1298.2,DE
11090,12,2016,Wind_onshore,8060.42,DE
11091,12,2016,Non_identified_net_gen,,DE
11092,12,2016,Imports,2255.7,DE
11093,12,2016,Exports,7875.46,DE
11094,12,2016,Biogas,,DE
11095,12,2016,Fossil_Mixed_fuels,331.51,DE
11096,12,2016,Fossil_Other,,DE
11097,12,2016,Hydro_Mixed_pumped_storage_non_renewable,19.65,DE
11098,12,2016,Hydro_Mixed_pumped_storage_renewable,,DE
11099,12,2016,Other_non_renewable,,DE
11100,12,2016,Solar_PV,754.61,DE
11101,12,2016,Solar_Thermal,,DE
11102,12,2016,Waste_non_renewable,409.18,DE
11103,12,2016,Waste_renewable,409.18,DE
11104,12,2016,Consumption_of_pumps,779.01,DE
11105,12,2016,Transmission losses,1063.22,DE
11106,1,2017,Biomass,3652.48,DE
11107,1,2017,Fossil_Brown_coal_Lignite,12405.86,DE
11108,1,2017,Fossil_Coal_derived_gas,,DE
11109,1,2017,Fossil_Gas,12276.03,DE
